,content,retweets,favorites,mentions,hashtags,Volume,returns,wordCount
2017-01-22,A fantastic day and evening in Washington D.C.Thank you to   and so many other news outlets for the GREAT reviews of the speech!,19831,158502,@FoxNews,,3152710000.0,-0.0026901247580694,23
2017-01-23,"Had a great meeting at CIA Headquarters yesterday, packed house, paid great respect to Wall, long standing ovations, amazing people. WIN!",14153,113013,,,3810960000.0,0.0065645936376641,21
2017-01-23,Watched protests yesterday but was under the impression that we just had an election! Why didn't these people vote? Celebs hurt cause badly.,38039,186835,,,3810960000.0,0.0065645936376641,23
2017-01-23,"Wow, television ratings just out: 31 million people watched the Inauguration, 11 million more than the very good ratings from 4 years ago!",33675,192297,,,3810960000.0,0.0065645936376641,23
2017-01-23,"Peaceful protests are a hallmark of our democracy. Even if I don't always agree, I recognize the rights of people to express their views.",76233,353955,,,3810960000.0,0.0065645936376641,24
2017-01-24,Busy week planned with a heavy focus on jobs and national security. Top executives coming in at 9:00 A.M. to talk manufacturing in America.,22637,157363,,,3846020000.0,0.0080260905496174,24
2017-01-25,Will be meeting at 9:00 with top automobile executives concerning jobs in America. I want new plants to be built here for cars sold here!,20055,137167,,,3610360000.0,-0.0007353844075136,25
2017-01-25,A photo delivered yesterday that will be displayed in the upper/lower press hall. Thank you Abbas! ,17781,96732,,,3610360000.0,-0.0007353844075136,16
2017-01-25,"Great meeting with automobile industry leaders at the   this morning. Together, we will # MAGA! ",13708,88009,@WhiteHouse,#MAGA,3610360000.0,-0.0007353844075136,15
2017-01-25,Signing orders to move forward with the construction of the Keystone XL and Dakota Access pipelines in the Oval Office.  – bei The Oval Office,21643,116136,,,3610360000.0,-0.0007353844075136,25
2017-01-25,Great meeting with Ford CEO Mark Fields and General Motors CEO Mary Barra at the   today. ,15853,89238,@WhiteHouse,,3610360000.0,-0.0007353844075136,16
2017-01-25,Congratulations to   for being number one in inauguration ratings. They were many times higher than FAKE NEWS   - public is smart!,26523,142284,"@FoxNews,@CNN",,3610360000.0,-0.0007353844075136,21
2017-01-25,"If Chicago doesn't fix the horrible ""carnage"" going on, 228 shootings in 2017 with 42 killings (up 24% from 2016), I will send in the Feds!",46872,182509,,,3610360000.0,-0.0007353844075136,26
2017-01-25,"Big day planned on NATIONAL SECURITY tomorrow. Among many other things, we will build the wall!",44476,168436,,,3610360000.0,-0.0007353844075136,16
2017-01-26,"I will be asking for a major investigation into VOTER FRAUD, including those registered to vote in two states, those who are illegal and....",21972,113261,,,3135890000.0,-0.0008664638929263,24
2017-01-26,"even, those registered to vote who are dead (and many for a long time). Depending on results, we will strengthen up voting procedures!",15807,93569,,,3135890000.0,-0.0008664638929263,23
2017-01-26,I will be making my Supreme Court pick on Thursday of next week.Thank you!,18127,115549,,,3135890000.0,-0.0008664638929263,14
2017-01-26,I will be interviewed by   tonight at 10 o'clock on   Will be my first interview from the White House. Enjoy!  – bei The White House,10541,67003,"@DavidMuir,@ABC",,3135890000.0,-0.0008664638929263,25
2017-01-26,"Beginning today, the United States of America gets back control of its borders. Full speech from today      ",19369,96208,@DHSgov,,3135890000.0,-0.0008664638929263,17
2017-01-26,"As your President, I have no higher duty than to protect the lives of the American people. ",24631,133990,,,3135890000.0,-0.0008664638929263,17
2017-01-26,"""   .   first   interview since taking office. Tonight on     tonight.  ",5446,39282,"@romoabcnews,@DavidMuir,@POTUS,@ABCWorldNews,@ABC2020",,3135890000.0,-0.0008664638929263,10
2017-01-26,Interview with David Muir of   News in 10 minutes. Enjoy!,5493,47069,@ABC,,3135890000.0,-0.0008664638929263,10
2017-01-29,"The failing   has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!",17123,94607,@nytimes,,3591270000.0,-0.0060095435176958,23
2017-01-29,Thr coverage about me in the   and the   gas been so false and angry that the times actually apologized to its.....,11422,68908,"@nytimes,@washingtonpost",,3591270000.0,-0.0060095435176958,21
2017-01-29,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST",13387,91970,,,3591270000.0,-0.0060095435176958,21
2017-01-29,"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. # NeverForget ",27868,150445,,#NeverForgetpic,3591270000.0,-0.0060095435176958,15
2017-01-30,Somebody with aptitude and conviction should buy the FAKE NEWS and failing   and either run it correctly or let it fold with dignity!,18427,97095,@nytimes,,4087450000.0,-0.000889905407144,23
2017-01-30,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!",41858,190510,,,4087450000.0,-0.000889905407144,24
2017-01-30,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!,49628,195065,,,4087450000.0,-0.000889905407144,17
2017-01-30,The joint statement of former presidential candidates John McCain & Lindsey Graham is wrong - they are sadly weak on immigration. The two...,19702,92884,,,4087450000.0,-0.000889905407144,23
2017-01-30,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III.",34956,147266,,,4087450000.0,-0.000889905407144,21
2017-01-30,Statement Regarding Recent Executive Order Concerning Extreme Vetting:   …,14139,60020,,,4087450000.0,-0.000889905407144,9
2017-01-30,I will be interviewed by   on   tonight at 11pm. Enjoy!,9352,58985,"@TheBrodyFile,@CBNNews",,4087450000.0,-0.000889905407144,10
2017-01-31,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,.....",26407,115132,,,3916610000.0,0.0002983634896507,22
2017-01-31,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!,20059,116960,,,3916610000.0,0.0002983634896507,23
2017-01-31,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!,29293,151313,,,3916610000.0,0.0002983634896507,25
2017-01-31,"If the ban were announced with a one week notice, the ""bad"" would rush into our country during that week. A lot of bad ""dudes"" out there!",29628,149943,,,3916610000.0,0.0002983634896507,27
2017-01-31,I have made my decision on who I will nominate for The United States Supreme Court. It will be announced live on Tuesday at 8:00 P.M. (W.H.),20963,111005,,,3916610000.0,0.0002983634896507,27
2017-01-31,Where was all the outrage from Democrats and the opposition party (the media) when our jobs were fleeing our country?,27205,142767,,,3916610000.0,0.0002983634896507,20
2017-01-31,"The American dream is back. We’re going to create an environment for small business like we haven’t had in many, many decades! ",28986,155579,,,3916610000.0,0.0002983634896507,22
2017-01-31,The Democrats are delaying my cabinet picks for purely political reasons. They have nothing going but to obstruct. Now have an Obama A.G.,23323,110871,,,3916610000.0,0.0002983634896507,23
2017-02-01,Nancy Pelosi and Fake Tears Chuck Schumer held a rally at the steps of The Supreme Court and mic did not work (a mess)-just like Dem party!,25574,132090,,,3807710000.0,0.0005703094032936,27
2017-02-01,When will the Democrats give us our Attorney General and rest of Cabinet! They should be ashamed of themselves! No wonder D.C. doesn't work!,32790,157277,,,3807710000.0,0.0005703094032936,24
2017-02-01,Getting ready to deliver a VERY IMPORTANT DECISION! 8:00 P.M.,13739,90159,,,3807710000.0,0.0005703094032936,10
2017-02-01,Join me live from the    …,5524,46624,@WhiteHouse,,3807710000.0,0.0005703094032936,6
2017-02-01,"Hope you like my nomination of Judge Neil Gorsuch for the United States Supreme Court. He is a good and brilliant man, respected by all.",28755,222212,,,3807710000.0,0.0005703094032936,25
2017-02-02,"Everybody is arguing whether or not it is a BAN. Call it what you want, it is about keeping bad people (with bad intentions) out of country!",50968,221536,,,3597970000.0,0.0072647580986477,27
2017-02-02,Iran is rapidly taking over more and more of Iraq even after the U.S. has squandered three trillion dollars there. Obvious long ago!,17368,81211,,,3597970000.0,0.0072647580986477,23
2017-02-02,Do you believe it? The Obama Administration agreed to take thousands of illegal immigrants from Australia. Why? I will study this dumb deal!,31083,131510,,,3597970000.0,0.0072647580986477,23
2017-02-05,"When a country is no longer able to say who can, and who cannot , come in & out, especially for reasons of safety &.security - big trouble!",32084,153792,,,3109050000.0,-0.0021153569858851,28
2017-02-05,Interesting that certain Middle-Eastern countries agree with the ban. They know if certain people are allowed in it's death & destruction!,23614,121946,,,3109050000.0,-0.0021153569858851,21
2017-02-05,"The opinion of this so-called judge, which essentially takes law-enforcement away from our country, is ridiculous and will be overturned!",27876,138939,,,3109050000.0,-0.0021153569858851,20
2017-02-05,"After being forced to apologize for its bad and inaccurate coverage of me after winning the election, the FAKE NEWS   is still lost!",14418,89132,@nytimes,,3109050000.0,-0.0021153569858851,23
